Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Kilograms,Steps,Note
2020-09-13,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-09-13,Running,Cardio,452.0,32,,,,,
2020-09-15,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-09-15,Running,Cardio,575.0,44,,,,,
2020-09-17,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-09-17,Running,Cardio,487.0,34,,,,,
2020-09-19,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-09-19,Running,Cardio,1051.0,87,,,,,
2020-09-24,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-09-24,Running,Cardio,500.0,36,,,,,
2020-09-26,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-09-26,Running,Cardio,1026.0,79,,,,,
2020-09-29,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-09-29,Running,Cardio,448.0,31,,,,,
2020-09-30,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-09-30,Running,Cardio,123.0,11,,,,,
2020-10-01,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-10-01,Running,Cardio,443.0,31,,,,,
2020-10-01,Running,Cardio,443.0,31,,,,,
2020-10-05,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-10-05,Running,Cardio,122.0,10,,,,,
2020-10-06,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-10-06,Running,Cardio,1052.0,83,,,,,
2020-10-07,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-10-07,Running,Cardio,179.0,13,,,,,
2020-10-07,Running,Cardio,189.0,14,,,,,
2020-10-08,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-10-08,Running,Cardio,492.0,34,,,,,
2020-10-10,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-10-10,Running,Cardio,886.0,69,,,,,
2020-10-10,Running,Cardio,139.0,12,,,,,
2020-10-12,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-10-12,Running,Cardio,209.0,15,,,,,
2020-10-12,Running,Cardio,184.0,13,,,,,
2020-10-13,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-10-13,Running,Cardio,487.0,33,,,,,
2020-10-14,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-10-14,Running,Cardio,158.0,12,,,,,
2020-10-15,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-10-15,Running,Cardio,485.0,33,,,,,
2020-10-15,Running,Cardio,479.0,34,,,,,
2020-10-16,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-10-16,Running,Cardio,331.0,25,,,,,
